200.0 0.0
230.0 2.0
240.0 4.763
242.0 4.808
244.0 4.921
246.0 5.094
248.0 5.322
250.0 5.598
252.0 5.917
254.0 6.273
256.0 6.659
258.0 7.070
260.0 7.500
262.0 7.967
264.0 8.498
266.0 9.095
268.0 9.761
270.0 10.500
272.0 11.360
274.0 12.369
276.0 13.498
278.0 14.718
280.0 16.000
282.0 17.395
284.0 18.941
286.0 20.590
288.0 22.292
290.0 24.000
292.0 25.740
294.0 27.546
296.0 29.383
298.0 31.213
300.0 33.000
302.0 34.799
304.0 36.598
306.0 38.261
308.0 39.759
310.0 41.280
312.0 42.000
314.0 41.870
316.0 41.630
318.0 41.500
320.0 41.690
322.0 42.153
324.0 42.724
326.0 43.279
328.0 43.921
330.0 44.640
332.0 45.395
334.0 46.142
336.0 46.860
338.0 47.620
340.0 48.390
342.0 49.114
344.0 49.740
346.0 50.247
348.0 50.745
350.0 51.140
352.0 51.300
354.0 51.253
356.0 51.150
358.0 51.047
360.0 51.000
362.0 51.267
364.0 51.921
366.0 52.739
368.0 53.500
370.0 54.184
372.0 54.900
374.0 55.625
376.0 56.333
378.0 57.000
380.0 57.637
382.0 58.265
384.0 58.875
386.0 59.457
388.0 60.002
390.0 60.500
392.0 60.964
394.0 61.406
396.0 61.816
398.0 62.184
400.0 62.500
402.0 62.805
404.0 63.090
406.0 63.273
408.0 63.271
410.0 63.073
412.0 62.766
414.0 62.440
416.0 62.171
418.0 61.904
420.0 61.633
422.0 61.368
424.0 61.117
426.0 60.888
428.0 60.673
430.0 60.469
432.0 60.272
434.0 60.080
436.0 59.889
438.0 59.697
440.0 59.500
442.0 59.306
444.0 59.120
446.0 58.936
448.0 58.750
450.0 58.556
452.0 58.348
454.0 58.122
456.0 57.870
458.0 57.580
460.0 57.259
462.0 56.916
464.0 56.560
466.0 56.199
468.0 55.843
470.0 55.500
472.0 55.162
474.0 54.819
476.0 54.473
478.0 54.130
480.0 53.792
482.0 53.464
484.0 53.151
486.0 52.854
488.0 52.572
490.0 52.300
492.0 52.037
494.0 51.779
496.0 51.522
498.0 51.263
500.0 51.000
502.0 50.733
504.0 50.467
506.0 50.200
508.0 49.933
510.0 49.667
512.0 49.400
514.0 49.133
516.0 48.867
518.0 48.600
520.0 48.333
522.0 48.067
524.0 47.800
526.0 47.533
528.0 47.267
530.0 47.000
532.0 46.737
534.0 46.478
536.0 46.221
538.0 45.963
540.0 45.700
542.0 45.428
544.0 45.146
546.0 44.847
548.0 44.516
550.0 44.162
552.0 43.798
554.0 43.437
556.0 43.092
558.0 42.775
560.0 42.500
562.0 42.259
564.0 42.036
566.0 41.827
568.0 41.630
570.0 41.443
572.0 41.262
574.0 41.087
576.0 40.914
578.0 40.743
580.0 40.577
582.0 40.418
584.0 40.267
586.0 40.127
588.0 40.000
590.0 39.899
592.0 39.820
594.0 39.742
596.0 39.642
598.0 39.500
600.0 39.147
602.0 38.528
604.0 37.785
606.0 37.061
608.0 36.500
610.0 36.098
612.0 35.745
614.0 35.426
616.0 35.123
618.0 34.820
620.0 34.500
622.0 34.162
624.0 33.819
626.0 33.473
628.0 33.130
630.0 32.792
632.0 32.464
634.0 32.151
636.0 31.855
638.0 31.579
640.0 31.317
642.0 31.063
644.0 30.811
646.0 30.554
648.0 30.285
650.0 30.000
652.0 29.690
654.0 29.359
656.0 29.013
658.0 28.662
660.0 28.313
662.0 27.973
664.0 27.652
666.0 27.355
668.0 27.079
670.0 26.817
672.0 26.563
674.0 26.311
676.0 26.054
678.0 25.785
680.0 25.500
682.0 25.190
684.0 24.859
686.0 24.513
688.0 24.162
690.0 23.813
692.0 23.473
694.0 23.152
696.0 22.854
698.0 22.570
700.0 22.296
702.0 22.030
704.0 21.770
706.0 21.513
708.0 21.257
710.0 21.000
712.0 20.741
714.0 20.480
716.0 20.220
718.0 19.961
720.0 19.705
722.0 19.452
724.0 19.204
726.0 18.962
728.0 18.727
730.0 18.500
732.0 18.282
734.0 18.072
736.0 17.867
738.0 17.668
740.0 17.472
742.0 17.279
744.0 17.086
746.0 16.893
748.0 16.698
750.0 16.500
752.0 16.298
754.0 16.094
756.0 15.888
758.0 15.681
760.0 15.473
762.0 15.267
764.0 15.062
766.0 14.859
768.0 14.660
770.0 14.464
772.0 14.274
774.0 14.090
776.0 13.912
778.0 13.739
780.0 13.572
782.0 13.408
784.0 13.247
786.0 13.089
788.0 12.933
790.0 12.779
792.0 12.625
794.0 12.470
796.0 12.315
798.0 12.159
800.0 12.000
802.0 11.839
804.0 11.677
806.0 11.513
808.0 11.349
810.0 11.184
812.0 11.021
814.0 10.858
816.0 10.696
818.0 10.536
820.0 10.379
822.0 10.225
824.0 10.074
826.0 9.927
828.0 9.784
830.0 9.644
832.0 9.507
834.0 9.372
836.0 9.238
838.0 9.106
840.0 8.974
842.0 8.842
844.0 8.709
846.0 8.575
848.0 8.438
850.0 8.300
852.0 8.159
854.0 8.014
856.0 7.868
858.0 7.720
860.0 7.572
862.0 7.423
864.0 7.275
866.0 7.128
868.0 6.983
870.0 6.841
872.0 6.701
874.0 6.566
876.0 6.435
878.0 6.305
880.0 6.178
882.0 6.052
884.0 5.927
886.0 5.805
888.0 5.684
890.0 5.565
892.0 5.448
894.0 5.333
896.0 5.220
898.0 5.109
900.0 5.000
